cell	feat	dist	cell_x	cell_y	x	y
0	SPTBN1	1	475.5	630.6	26504.751194999997	36773.3680696
0	C17orf51	1	475.5	630.6	27164.994412400003	40014.1013825
0	KIAA1462	1	475.5	630.6	28232.3519666	24437.3736262
0	PAPPA	1	475.5	630.6	29078.483084400003	32388.2163718
0	PRRC2B	1	475.5	630.6	31660.556824199997	8849.17823708
0	FLNC	0	475.5	630.6	31335.820013599998	37069.682048
0	SPTAN1	1	475.5	630.6	31986.828915900005	20396.6876347
0	FLNC	1	475.5	630.6	32188.929777499998	15562.56010255
0	SPTBN1	1	475.5	630.6	34066.2154046	33186.5782752
0	SPTBN1	1	475.5	630.6	33696.6956235	23070.281967
0	SPTAN1	1	475.5	630.6	36692.907235800005	17561.4929635
0	SPTBN1	1	475.5	630.6	37827.4239068	39240.0810985
0	SPTBN1	1	475.5	630.6	38776.3097071	23822.1225802
0	SPTBN1	1	475.5	630.6	40240.645249199995	22171.9021771
0	KIAA1462	1	475.5	630.6	1041.850330244	35987.427192
0	PAPPA	1	475.5	630.6	1588.748377446	37500.7423812
0	COL7A1	1	475.5	630.6	1925.50268206	6130.59787731
0	PRKDC	1	475.5	630.6	2230.58534783	35562.8813785
0	PRRC2B	1	475.5	630.6	3398.7153964000004	4817.8976121000005
0	PAPPA	1	475.5	630.6	7241.45366433	38198.15442119999
0	NR4A1	1	475.5	630.6	8509.85755863	18660.5282467
0	FLNC	1	475.5	630.6	10111.49227264	38821.87609130001
0	PLXNA1	1	475.5	630.6	10945.72292368	13159.66506487
0	ZC3H13	1	475.5	630.6	12804.18316349	25572.515444999997
0	COL7A1	1	475.5	630.6	12820.48581204	35917.196627900004
0	EGFR	1	475.5	630.6	13056.36124963	7930.09550227
0	COL7A1	1	475.5	630.6	13760.12879861	23676.87757
0	PRKDC	1	475.5	630.6	13767.28674259	25012.7662979
0	EGFR	1	475.5	630.6	14151.58941212	10322.95208979
0	PAPPA	1	475.5	630.6	14127.20848927	18524.9847341
0	PAPPA	1	475.5	630.6	16041.55709103	34045.6300494
0	PRKDC	1	475.5	630.6	17800.573136099996	25172.376464400004
0	FLNC	1	475.5	630.6	18741.7144784	14921.92668647
0	COL7A1	1	475.5	630.6	18900.031847799997	28510.9689884
0	NUP98	1	475.5	630.6	19799.6334097	36797.7528084
0	GTF3C4	1	475.5	630.6	21201.7520998	14246.34174687
0	FLNC	1	475.5	630.6	21627.0470252	37436.7277575
0	H6PD	1	475.5	630.6	21830.1849902	25903.7701654
0	ABCA2	1	475.5	630.6	22123.1637782	24670.521107099998
0	SPTBN1	1	475.5	630.6	23604.9040102	24169.0913159
0	FLNC	1	475.5	630.6	23782.445133700003	7538.68313673
0	TMOD2	1	475.5	630.6	23810.7779195	37515.8422707
0	NUP98	1	475.5	630.6	25128.6643313	36787.369666900006
0	SPTBN1	1	475.5	630.6	25167.381110299997	17891.5933465
0	PAPPA	1	475.5	630.6	25323.829449099998	25032.0335388
0	PRRC2B	1	475.5	630.6	25652.9805206	34245.4578907
0	PAPPA	1	475.5	630.6	28264.851936799998	14128.79305541
0	PRRC2B	1	475.5	630.6	28284.417139099998	22149.1887242
0	FLNC	1	475.5	630.6	28133.963565900005	37637.1943571
0	SPTBN1	1	475.5	630.6	28849.5770194	26266.6966863
0	PAPPA	1	475.5	630.6	29536.946881800002	23121.862138099998
0	PLXNA1	0	475.5	630.6	30772.312865499996	12426.45691555
