Gene	Codeword
FAM126B	10000010100100
RAP2B	01010010000100
ZNF407	10001001010000
UTP20	00100001011000
RELN	10001010000100
ORC2	10001001000010
GEMIN4	11010000010000
ZFP28	00100001100010
IL17RA	00010110000100
PAXIP1	10001000100001
CNTRL	00001010001001
HIVEP2	10010010000001
NEDD9	00010010100010
PIK3R3	00001001100100
TMEM246	01000100110000
FAM171A1	10110000010000
blank008	10110000000010
SLC24A1	01000010011000
SLC7A6OS	11000010000001
ZBTB34	00000011001100
ULK4	00101100000010
ARHGAP20	11000000100010
CCDC93	01000011010000
LPCAT2	10000000111000
KIF7	00000111000010
RAD54L2	01100000001001
DHX37	00001010001010
ZBTB11	10100000001001
DNAH5	00000110100010
ARHGEF6	01000011000001
RCAN3	00001100011000
DOPEY1	00100010100010
FAM217B	10000110000001
BCL9	11010000000100
IQCE	10001000001001
ALMS1	01000110000100
NEK1	00001101010000
CNTN3	01000001100100
RFX7	00100100001010
NUAK1	10010100010000
NAPEPLD	10000101010000
POLR3B	10010000100100
B3GALTL	01000001001010
HAS2	10001100010000
RAP1GAP2	11000001000010
CIT	00100101000001
SOX11	00101100010000
MTHFR	01001001000010
DUSP16	00000011110000
SLC9A5	01000010001100
HEATR5B	00110010000010
VCPIP1	00001100001001
JARID2	01100000001010
MEX3A	00010000111000
GPR155	00010101000001
ZNF526	01000001001001
TAB3	10000100100001
FLRT3	10001000011000
ZNF436	01001000110000
WDR7	10010010010000
WDR81	11000010000100
SLC41A2	11000000001010
WDR37	01001001010000
NLRX1	00101000100001
BRIP1	01000110000001
PHKA2	00010100011000
POLR1A	00100011000010
ZNF445	00110010000001
UBE2O	00000100101001
PTGFR	00011000100001
GMEB2	00010001100001
CCNF	00111000010000
OTUD3	01000010100001
CACNA1C	01110000000001
BRPF1	00100001100100
ARID2	00101001000001
BLM	01001100000001
PDE10A	00001100001010
AGL	01101000000100
TRPS1	00001100100001
RASAL2	01000111000000
ENDOD1	01001110000000
GREM2	01100110000000
ANKRD26	01011000100000
NHLRC2	11001010000000
ZBTB5	00010011100000
GPRIN1	01001101000000
TCEANC2	00100110001000
notarget004	00001100101000
MAGI3	10100001001000
SHROOM2	00101100100000
FMNL3	01110000100000
TRIM62	10000101100000
TNFAIP3	01101010000000
HIP1R	01010010001000
DCLRE1A	11000010001000
DNA2	00001110001000
VWA8	01001001001000
PHF16	10100100001000
TARBP1	00101100001000
RNASEL	10110100000000
DHX34	01000110001000
GLTSCR1L	10011000100000
UBXN2B	00111100000000
PAPOLG	01101100000000
WDR35	10001011000000
WDR62	10010110000000
blank009	01110000001000
BRI3BP	00101110000000
IQGAP3	00110001001000
PIK3CD	00111000100000
ERMAP	01000011001000
PTPLAD2	00110011000000
CUL9	00111000001000
ANKS1A	01010000101000
TRERF1	00001010101000
URB2	10010100001000
TMED8	10000101001000
ARHGEF10L	11000001100000
GPRC5B	00000011101000
HSPA12A	00100010101000
UHRF1BP1	01100011000000
SYTL4	01001010001000
ESCO1	01001001100000
TULP4	01000101100000
MAPKBP1	10001110000000
GPAM	00011010100000
ATG14	00001101100000
DMXL2	01010001001000
HIVEP1	00101000101000
SNPH	10101000100000
SSH2	00101010001000
ZNF202	00101010100000
SALL2	01011010000000
OSBPL6	10011000001000
ERN1	01001000101000
ARL10	10010010001000
RP11-350F4.2	01011001000000
MAP3K14	10010000101000
FKBP5	00001001101000
HELZ2	01100100100000
PTPRU	11100010000000
RALGAPA1P	00010101001000
FITM2	10010010100000
PER3	00011110000000
ARL4C	00010011001000
DDX60L	01000010101000
ZNF41	00110000101000
KLHL15	01101000100000
PHLPP2	10001010100000
ZNF142	00100110100000
KLF11	01010110000000
MBLAC2	00010111000000
NIPAL2	11100100000000
LRP4	00101011000000
N6AMT1	10100110000000
SLC12A6	00100111000000
SLC4A8	01101001000000
PINK1-AS	00100001101000
VDR	11001000001000
THADA	11010000001000
URB1	00000111001000
KLHL29	00110100001000
RP11-566E18.3	00010001101000
POLQ	11110000000000
HMCN1	00110010100000
ZNF230	01100000101000
YOD1	11000001001000
DGKI	10011001000000
CACNA1A	00100101100000
ITGA7	10000011001000
ZNF175	01010100100000
LINC00641	10000010101000
ZNF646	01100101000000
FAM131B	00010110001000
MOK	11000011000000
ZNF354C	00011100001000
NCR3LG1	00010100101000
TBC1D22B	10001001001000
KIAA2018	01001010100000
SEMA4F	11100001000000
RALGAPA2	00111001000000
CDKN2B	10011010000000
C10orf54	01100001100000
TMPPE	10100010100000
CDKL5	11001001000000
AHNAK2	10101010000000
SLC2A12	01000101001000
ZKSCAN2	10000111000000
BAIAP2L1	10100001100000
C10orf12	01001011000000
