feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
FLNB	2.25	6.75	8.25	12.75	9.75	6.75	4.5	27.75	15.75	3.75	6.75	3.0	9.75	6.0	5.25	4.5	2.25	16.5	6.75	0.75	8.25	12.0	9.0	0.75	12.0	0.75	16.5	10.5	8.25	8.25	1.5	21.0	19.5	12.0	9.75	18.75	12.0	9.0	21.75	1.5	17.25	3.75	3.75	15.75	5.25	24.0	2.25	6.0	8.25	10.5
FLNC	13.5	130.5	33.0	81.75	54.0	69.0	21.75	36.0	21.0	36.0	25.5	45.75	27.0	21.0	33.75	17.25	33.0	35.25	14.25	72.75	108.75	63.0	42.75	65.25	27.0	14.25	33.75	30.0	23.25	42.0	12.0	48.0	65.25	29.25	30.75	19.5	39.75	24.0	58.5	21.0	98.25	19.5	20.25	43.5	20.25	58.5	20.25	35.25	12.75	24.75
FOSB	1.5	5.25	3.0	2.25	4.5	5.25	2.25	6.75	5.25	2.25	2.25	8.25	0.75	2.25	4.5	1.5	3.0	0.75	1.5	0.0	9.75	4.5	1.5	1.5	1.5	4.5	5.25	0.75	1.5	3.0	1.5	6.0	5.25	6.75	6.0	5.25	3.0	2.25	9.75	1.5	1.5	0.0	0.0	2.25	0.75	5.25	3.0	2.25	2.25	2.25
FRY	2.25	4.5	1.5	4.5	3.75	3.75	0.75	4.5	4.5	8.25	0.75	3.0	0.0	0.0	2.25	1.5	3.0	0.75	0.0	3.75	5.25	2.25	4.5	0.75	1.5	0.75	0.0	3.75	2.25	4.5	0.0	5.25	8.25	0.0	0.0	0.0	0.0	4.5	3.0	1.5	3.75	0.75	0.0	1.5	3.75	5.25	8.25	1.5	3.75	1.5
FYCO1	2.25	5.25	6.0	2.25	6.0	3.75	1.5	6.0	5.25	4.5	1.5	5.25	3.75	0.75	0.75	4.5	3.75	5.25	4.5	7.5	8.25	3.75	14.25	6.0	5.25	6.75	2.25	3.75	2.25	13.5	8.25	12.0	10.5	8.25	7.5	9.75	8.25	4.5	12.75	6.0	8.25	5.25	9.75	12.75	12.75	10.5	7.5	4.5	3.0	8.25
FZD4	0.75	2.25	3.0	0.0	0.75	0.75	4.5	3.75	2.25	16.5	1.5	1.5	0.75	2.25	2.25	2.25	6.75	6.75	2.25	0.0	1.5	2.25	2.25	2.25	1.5	2.25	0.0	0.75	0.0	6.0	0.75	15.75	3.75	3.75	5.25	5.25	0.0	0.0	5.25	0.75	0.0	0.0	0.75	1.5	0.0	4.5	0.0	1.5	0.75	2.25
GPR107	7.5	9.0	10.5	9.75	3.75	13.5	6.75	24.0	9.0	24.0	8.25	12.75	13.5	3.75	9.0	3.0	12.0	10.5	17.25	7.5	36.0	12.0	8.25	20.25	9.75	6.0	8.25	1.5	7.5	19.5	5.25	13.5	9.75	16.5	6.0	18.0	9.75	3.75	16.5	5.25	7.5	3.75	0.75	14.25	4.5	18.0	3.0	21.0	6.75	9.0
GTF3C1	5.25	6.75	13.5	5.25	8.25	18.75	10.5	9.0	9.0	14.25	18.0	8.25	4.5	9.0	6.0	3.75	8.25	11.25	3.75	13.5	15.75	12.75	7.5	10.5	8.25	2.25	9.0	4.5	8.25	9.75	1.5	12.0	6.0	9.0	5.25	7.5	9.0	2.25	19.5	11.25	13.5	5.25	1.5	8.25	7.5	13.5	1.5	13.5	1.5	7.5
GTF3C4	1.5	5.25	4.5	1.5	1.5	0.75	6.75	9.0	6.75	0.75	2.25	16.5	0.75	1.5	4.5	0.75	0.75	2.25	0.75	1.5	13.5	1.5	5.25	4.5	2.25	1.5	1.5	0.0	0.75	2.25	0.0	2.25	1.5	0.75	2.25	3.0	0.0	0.0	6.0	1.5	0.0	0.0	0.0	9.0	4.5	4.5	8.25	9.0	1.5	3.75
H6PD	7.5	24.0	12.0	23.25	12.75	18.0	12.0	18.0	11.25	7.5	15.75	12.75	9.0	6.0	12.75	6.0	19.5	8.25	12.75	9.0	18.0	13.5	10.5	12.75	12.75	6.0	16.5	5.25	7.5	9.0	9.0	19.5	9.0	15.75	12.75	9.0	13.5	3.75	18.0	3.75	7.5	5.25	1.5	9.0	2.25	21.75	9.0	10.5	6.0	16.5
