feat	codeword	expressed
ZBED6	0110001111010001	1
PTPN23	1111010000110001	1
CTDP1	0111001100110001	1
HECTD3	1001110010110001	1
NUDT16	1100101010110001	1
C2orf44	0110011010110001	1
INPP5F	1110000110110001	1
SERAC1	0100110110110001	1
AKAP8	0001101110110001	1
LAMA1	0110110001110001	1
MAML2	0011101001110001	1
BDP1	1001011001110001	1
ATXN1L	0100011101110001	1
CHST3	1010100011110001	1
DARS2	0101001011110001	1
MAP3K1	1000001111110001	1
XPO5	1101101100001001	1
ABCC5	0111011100001001	1
TARSL2	1100111010001001	1
CLCN7	1110010110001001	1
GID4	1011001110001001	1
PRKAB2	0001111110001001	1
RBM19	0011111001001001	1
OSBPL2	1011100101001001	1
C2orf49	1010110011001001	1
HEATR6	0101011011001001	1
LRCH2	1101000111001001	1
ASH1L	0010101111001001	1
TSPYL4	1000011111001001	1
ADAMTS15	1011110000101001	1
ZMYND8	1110101000101001	1
ZSWIM6	0110110100101001	1
ZHX3	0011101100101001	1
ARFGEF2	1001011100101001	1
ELF4	0111100010101001	1
ZSCAN29	1101010010101001	1
SENP1	0010111010101001	1
TDRD7	1010100110101001	1
TBC1D9	0101001110101001	1
CRY2	0111001001101001	1
SHC4	0101100101101001	1
FAM168A	1010001101101001	1
ABHD13	0000111101101001	1
SLC30A1	1110000011101001	1
DHX57	0100110011101001	1
AP4E1	0001101011101001	1
ZNF480	0011000111101001	1
CEP170B	0111101000011001	1
RNF169	1101011000011001	1
USPL1	1010101100011001	1
ANKRD50	1110100010011001	1
APH1B	0011100110011001	1
TMOD2	1001010110011001	1
LYRM7	1100001110011001	1
PHRF1	1011010001011001	1
KAT6A	1110001001011001	1
LIG3	0100111001011001	1
KIAA1551	1100100101011001	1
HPS4	0110010101011001	1
LPIN1	0011001101011001	1
C11orf95	0111000011011001	1
WASH5P	1000101011011001	1
BRD1	0010011011011001	1
INTS2	1010000111011001	1
MEGF9	0000110111011001	1
C2CD3	1100110000111001	1
FNIP1	1001101000111001	1
FASN	0011011000111001	1
RRP12	1011000100111001	1
TCF20	0001110100111001	1
BAHD1	0100101100111001	1
CEP170P1	1010010010111001	1
blank006	0010001110111001	1
SLC12A2	0101010001111001	1
KIF16B	0010100101111001	1
USP37	1000010101111001	1
FBXO30	1001000011111001	1
USP6NL	0100000111111001	1
VANGL1	1011110010000101	1
KIAA2026	1110101010000101	1
AHCTF1P1	0110110110000101	1
KCNMA1	0011101110000101	1
TGS1	1001011110000101	1
NOM1	1011011001000101	1
SLC12A7	1001110101000101	1
UBR2	1100101101000101	1
TANGO6	0110011101000101	1
WDR60	0111001011000101	1
FOXJ2	0101100111000101	1
RMND5A	1010001111000101	1
KDM1B	0000111111000101	1
CSPG4	1100111000100101	1
INPP4A	1110010100100101	1
ATP9A	1011001100100101	1
DZIP3	0001111100100101	1
CAPN15	1111000010100101	1
ITGA11	0101110010100101	1
CYFIP2	1010011010100101	1
SUSD5	1000110110100101	1
ZNF654	1010110001100101	1
ZBTB41	0101011001100101	1
RWDD2A	1101000101100101	1
NCOA3	0010101101100101	1
MED23	1000011101100101	1
CSTF2T	0110100011100101	1
SIPA1L2	1100010011100101	1
CYP2U1	1001001011100101	1
HECTD2	0001010111100101	1
SMAD9	0100001111100101	1
HIP1	1111001000010101	1
CDC25A	0101111000010101	1
SERTAD2	1101100100010101	1
NPAT	0111010100010101	1
DPYD	1000111100010101	1
KIAA0753	1100110010010101	1
VPS13C	1001101010010101	1
ZNF592	0011011010010101	1
CLUH	1011000110010101	1
WDR55	0001110110010101	1
ZNF71	0100101110010101	1
CRYBG3	0011110001010101	1
FCHSD2	0110101001010101	1
EFNB2	1100011001010101	1
TMEM260	0001011101010101	1
TTF2	0101010011010101	1
NCKAP5L	0010100111010101	1
notarget003	1000010111010101	1
ZNF652	1110100000110101	1
C10orf118	0011100100110101	1
DGKQ	1001010100110101	1
MKL2	1100001100110101	1
CD109	0010110010110101	1
DIO2	0101000110110101	1
KIF15	0000011110110101	1
GTF3C4	0111000001110101	1
ZNF687	1000101001110101	1
IQSEC1	0010011001110101	1
TRIM14	1010000101110101	1
PIK3R1	0000110101110101	1
RHOBTB2	0001100011110101	1
ZNF776	1110110000001101	1
CTPS2	1011101000001101	1
PRMT10	0011110100001101	1
LTBP2	0110101100001101	1
SLC9A6	1100011100001101	1
TBC1D13	1101001010001101	1
QTRTD1	0101010110001101	1
TRIM35	1101100001001101	1
SIN3A	0111010001001101	1
ZBTB6	1000111001001101	1
QSER1	1010010101001101	1
FEM1C	1011000011001101	1
PLEKHG3	0001110011001101	1
FBXO45	0100101011001101	1
GPR180	0110000111001101	1
SPICE1	0101101000101101	1
ANKRD32	0111000100101101	1
SNIP1	1000101100101101	1
NSD1	0010011100101101	1
GIGYF1	1100100010101101	1
DTX3L	0110010010101101	1
CCSAP	0011001010101101	1
ADCY7	0001100110101101	1
blank007	0011100001101101	1
MSH3	1001010001101101	1
PHF2	1100001001101101	1
VTI1A	0100010101101101	1
AP1G2	0001001101101101	1
ANPEP	0101000011101101	1
TMEM104	0000011011101101	1
DOCK5	1000000111101101	1
MAP3K6	1001110000011101	1
TTI1	1100101000011101	1
ASAP3	0110011000011101	1
TRRAP	1110000100011101	1
CEP41	0100110100011101	1
KIF18B	0001101100011101	1
LMBRD2	0101100010011101	1
ZDHHC21	1010001010011101	1
CNTLN	0000111010011101	1
ERCC6L	1000100110011101	1
VPS13D	0010010110011101	1
ITPR1	1010100001011101	1
POLR3A	0101001001011101	1
FAM214A	1000001101011101	1
